archived,created_by.id,created_by.object,created_time,id,last_edited_by.id,last_edited_by.object,last_edited_time,object,parent.database_id,parent.type,properties.anexo/link.id,properties.anexo/link.type,properties.categoria.id,properties.categoria.select.color,properties.categoria.select.id,properties.categoria.select.name,properties.categoria.type,properties.custo por trabalho.id,properties.custo por trabalho.number,properties.custo por trabalho.type,properties.custo total.formula.number,properties.custo total.formula.type,properties.custo total.id,properties.custo total.type,properties.objeto.id,properties.objeto.title.annotations.bold,properties.objeto.title.annotations.code,properties.objeto.title.annotations.color,properties.objeto.title.annotations.italic,properties.objeto.title.annotations.strikethrough,properties.objeto.title.annotations.underline,properties.objeto.title.plain_text,properties.objeto.title.text.content,properties.objeto.title.type,properties.objeto.type,properties.quantidade de trabalhos.id,properties.quantidade de trabalhos.number,properties.quantidade de trabalhos.type,url
FALSE,5226e51a-6445-4f68-b8b6-97b2f315142c,user,2022-12-23T23:22:00.000Z,384c4b01-ffc9-44c2-936e-272dc8d414e3,5226e51a-6445-4f68-b8b6-97b2f315142c,user,2022-12-23T23:24:00.000Z,page,210829c9-3090-4500-b9e9-e7d9d91929ea,database_id,TBDb,files,%3Ee%5D%7D,red,2a2dfd34-cb91-4c1a-ab2e-7ec03257f98c,serviço,select,jUZ%60,100,number,100,number,%3Cm%3AX,formula,title,FALSE,FALSE,default,FALSE,FALSE,FALSE,mini-relatorio com os dados (data reporting),mini-relatorio com os dados (data reporting),text,title,FJ%60E,1,number,https://www.notion.so/mini-relatorio-com-os-dados-data-reporting-384c4b01ffc944c2936e272dc8d414e3
FALSE,5226e51a-6445-4f68-b8b6-97b2f315142c,user,2022-12-23T23:21:00.000Z,c90ccee9-63ec-4cf8-890f-583c0f0757d4,5226e51a-6445-4f68-b8b6-97b2f315142c,user,2022-12-23T23:22:00.000Z,page,210829c9-3090-4500-b9e9-e7d9d91929ea,database_id,TBDb,files,%3Ee%5D%7D,red,2a2dfd34-cb91-4c1a-ab2e-7ec03257f98c,serviço,select,jUZ%60,50,number,50,number,%3Cm%3AX,formula,title,FALSE,FALSE,default,FALSE,FALSE,FALSE,analise bi-variada raca x idade,analise bi-variada raca x idade,text,title,FJ%60E,1,number,https://www.notion.so/analise-bi-variada-raca-x-idade-c90ccee963ec4cf8890f583c0f0757d4
FALSE,5226e51a-6445-4f68-b8b6-97b2f315142c,user,2022-12-23T23:21:00.000Z,e3e39b80-7542-4414-9898-8622bd13f0a2,5226e51a-6445-4f68-b8b6-97b2f315142c,user,2022-12-23T23:22:00.000Z,page,210829c9-3090-4500-b9e9-e7d9d91929ea,database_id,TBDb,files,%3Ee%5D%7D,red,2a2dfd34-cb91-4c1a-ab2e-7ec03257f98c,serviço,select,jUZ%60,50,number,50,number,%3Cm%3AX,formula,title,FALSE,FALSE,default,FALSE,FALSE,FALSE,analise bi-variada raca x moradia,analise bi-variada raca x moradia,text,title,FJ%60E,1,number,https://www.notion.so/analise-bi-variada-raca-x-moradia-e3e39b807542441498988622bd13f0a2
FALSE,5226e51a-6445-4f68-b8b6-97b2f315142c,user,2022-12-23T23:19:00.000Z,527d2704-5689-47f1-95bb-91166f09c1f1,5226e51a-6445-4f68-b8b6-97b2f315142c,user,2022-12-23T23:22:00.000Z,page,210829c9-3090-4500-b9e9-e7d9d91929ea,database_id,TBDb,files,%3Ee%5D%7D,red,2a2dfd34-cb91-4c1a-ab2e-7ec03257f98c,serviço,select,jUZ%60,50,number,50,number,%3Cm%3AX,formula,title,FALSE,FALSE,default,FALSE,FALSE,FALSE,analise univariada raca lupus,analise univariada raca lupus,text,title,FJ%60E,1,number,https://www.notion.so/analise-univariada-raca-lupus-527d2704568947f195bb91166f09c1f1
